productTypeID,typeName,typeID,groupID
81826,Metenox Moon Drill,81826,4744
32772,Medium Ancillary Shield Booster,32772,1156
32774,Small Ancillary Shield Booster,32774,1156
32780,X-Large Ancillary Shield Booster,32780,1156
32782,Defender Missile I,32782,88
32788,Cambion,32788,324
32790,Etana,32790,832
81948,Consortium Small Tractor Beam,81948,650
81949,Consortium Capital Tractor Beam,81949,650
32799,Orbital Laser S,32799,86
32801,Orbital EMP S,32801,83
32803,Orbital Hybrid S,32803,85
32809,Ammatar Navy Thermal Coating,32809,98
32811,Miasmos Amastris Edition,32811,28
32817,Medium Mercoxit Mining Crystal Optimization I,32817,1232
32819,Medium Ice Harvester Accelerator I,32819,1232
18626,Quest Survey Probe I,18626,492
32840,InterBus Catalyst,32840,420
32842,Intaki Syndicate Catalyst,32842,420
32844,Inner Zone Shipping Catalyst,32844,420
32846,Quafe Catalyst,32846,420
32848,Aliastra Catalyst,32848,420
18635,Discovery Survey Probe I,18635,492
18637,Gaze Survey Probe I,18637,492
17366,Station Container,17366,448
3297,Small Standard Container,3297,12
3293,Medium Standard Container,3293,12
3296,Large Standard Container,3296,12
24445,Giant Freight Container,24445,649
11489,Giant Secure Container,11489,340
11488,Huge Secure Container,11488,340
3465,Large Secure Container,3465,340
3466,Medium Secure Container,3466,340
3467,Small Secure Container,3467,340
17363,Small Audit Log Secure Container,17363,448
17364,Medium Audit Log Secure Container,17364,448
17365,Large Audit Log Secure Container,17365,448
17367,Station Vault Container,17367,448
32872,Algos,32872,420
37619,Magus Blueprint,37619,1542
32874,Dragoon,32874,420
37618,Pontifex Blueprint,37618,1542
32876,Corax,32876,420
37617,Stork Blueprint,37617,1542
32878,Talwar,32878,420
37620,Bifrost Blueprint,37620,1542
32880,Venture,32880,25
33698,Prospect Blueprint,33698,105
39583,Endurance Blueprint,39583,105
81951,Consortium Mobile Tractor Unit,81951,1250
32787,Salvage Drone I,32787,1159
55762,Salvage Drone II Blueprint,55762,1190
32983,Sukuuvestaa Heron,32983,25
32985,Inner Zone Shipping Imicus,32985,25
32987,Sarum Magnate,32987,25
32989,Vherokior Probe,32989,25
33003,Enormous Freight Container,33003,649
33005,Huge Freight Container,33005,649
33007,Large Freight Container,33007,649
33009,Medium Freight Container,33009,649
33011,Small Freight Container,33011,649
33017,Deactivated Station Key Pass,33017,1194
33076,Small Ancillary Armor Repairer,33076,1199
33081,Taipan,33081,237
33087,Advanced Cerebral Accelerator,33087,303
33101,Medium Ancillary Armor Repairer,33101,1199
33103,Large Ancillary Armor Repairer,33103,1199
33111,Prototype Cerebral Accelerator,33111,303
33149,Personal Hangar Array,33149,1212
33151,Brutix Navy Issue,33151,419
33153,Drake Navy Issue,33153,419
33155,Harbinger Navy Issue,33155,419
33157,Hurricane Fleet Issue,33157,419
33176,Scan Acquisition Array I,33176,1238
33198,Scan Acquisition Array II Blueprint,33198,1239
33178,Scan Pinpointing Array I,33178,1223
33200,Scan Pinpointing Array II Blueprint,33200,1224
33180,Scan Rangefinding Array I,33180,1223
33202,Scan Rangefinding Array II Blueprint,33202,1224
33190,Tash-Murkon Magnate,33190,25
33195,Spatial Attunement Unit,33195,334
33197,Scan Acquisition Array II,33197,1238
33199,Scan Pinpointing Array II,33199,1223
33201,Scan Rangefinding Array II,33201,1223
49600,Upwell Monument 1M,49600,2015
49601,Upwell Monument 1F,49601,2015
33270,Survey Probe Launcher I,33270,1226
33273,Survey Probe Launcher II Blueprint,33273,1227
33272,Survey Probe Launcher II,33272,1226
33277,Capital Drone Control Range Augmentor I,33277,778
33280,Capital Drone Control Range Augmentor II Blueprint,33280,787
33279,Capital Drone Control Range Augmentor II,33279,778
33281,Capital Drone Durability Enhancer I,33281,778
33284,Capital Drone Durability Enhancer II Blueprint,33284,787
33283,Capital Drone Durability Enhancer II,33283,778
33285,Capital Drone Mining Augmentor I,33285,778
33288,Capital Drone Mining Augmentor II Blueprint,33288,787
33287,Capital Drone Mining Augmentor II,33287,778
33289,Capital Drone Repair Augmentor I,33289,778
33292,Capital Drone Repair Augmentor II Blueprint,33292,787
33291,Capital Drone Repair Augmentor II,33291,778
33293,Capital Drone Scope Chip I,33293,778
33296,Capital Drone Scope Chip II Blueprint,33296,787
33295,Capital Drone Scope Chip II,33295,778
33297,Capital Drone Speed Augmentor I,33297,778
33300,Capital Drone Speed Augmentor II Blueprint,33300,787
33298,Capital Drone Speed Augmentor II,33298,778
33301,Capital Hydraulic Bay Thrusters II,33301,779
33303,Capital Processor Overclocking Unit I,33303,781
33306,Capital Processor Overclocking Unit II Blueprint,33306,787
33305,Capital Processor Overclocking Unit II,33305,781
33307,Capital Sentry Damage Augmentor I,33307,778
33310,Capital Sentry Damage Augmentor II Blueprint,33310,787
33309,Capital Sentry Damage Augmentor II,33309,778
33311,Capital Stasis Drone Augmentor I,33311,778
33314,Capital Stasis Drone Augmentor II Blueprint,33314,787
33313,Capital Stasis Drone Augmentor II,33313,778
3756,Gnosis,3756,419
49710,Kikimora,49710,420
52255,Draugur Blueprint,52255,1542
49711,Drekavac,49711,419
49712,Rodiva,49712,26
49717,Zarmazd Blueprint,49717,106
49713,Zarmazd,49713,832
49720,Structure EXERT Conduit Coupler,49720,536
82496,Major Threat Detection Array 1,82496,4768
82497,Major Threat Detection Array 2,82497,4768
82498,Major Threat Detection Array 3,82498,4768
82499,Minor Threat Detection Array 1,82499,4768
82500,Minor Threat Detection Array 2,82500,4768
82492,Minor Threat Detection Array 3,82492,4768
82493,Placeholder Sov Hub Upgrade 1,82493,4768
82494,Placeholder Sov Hub Upgrade 2,82494,4768
82495,Placeholder Sov Hub Upgrade 3,82495,4768
49770,Heavy Mutadaptive Remote Armor Repairer I,49770,2018
49778,Heavy Mutadaptive Remote Armor Repairer II Blueprint,49778,2019
49771,Heavy Mutadaptive Scoped Remote Armor Repairer,49771,2018
49772,Heavy Mutadaptive Compact Remote Armor Repairer,49772,2018
49773,Heavy Mutadaptive Remote Armor Repairer II,49773,2018
49774,Perun Heavy Mutadaptive Remote Armor Repairer,49774,2018
33395,Moracha,33395,833
33397,Chremoas,33397,830
33400,Bastion Module I,33400,515
82587,Megacyte Prospecting Array 1,82587,4768
82586,Megacyte Prospecting Array 2,82586,4768
82585,Zydrine Prospecting Array 1,82585,4768
82584,Zydrine Prospecting Array 2,82584,4768
82583,Nocxium Prospecting Array 1,82583,4768
33446,Caldari Navy Rapid Heavy Missile Launcher,33446,1245
82581,Isogen Prospecting Array 1,82581,4768
165,Clone Grade Beta,165,23
166,Clone Grade Gamma,166,23
582,Bantam,582,25
39581,Kirin Blueprint,39581,105
583,Condor,583,25
11177,Crow Blueprint,11177,105
11179,Raptor Blueprint,11179,105
584,Griffin,584,25
11195,Kitsune Blueprint,11195,105
620,Osprey,620,26
11986,Basilisk Blueprint,11986,106
621,Caracal,621,26
11994,Cerberus Blueprint,11994,106
638,Raven,638,27
28711,Golem Blueprint,28711,107
585,Slasher,585,25
11197,Claw Blueprint,11197,105
11199,Stiletto Blueprint,11199,105
586,Probe,586,25
11183,Cheetah Blueprint,11183,105
587,Rifter,587,25
11372,Wolf Blueprint,11372,105
11401,Jaguar Blueprint,11401,105
622,Stabber,622,26
12000,Vagabond Blueprint,12000,106
639,Tempest,639,27
28666,Vargur Blueprint,28666,107
33468,Astero,33468,25
82609,Placeholder Sov Hub Upgrade 4,82609,4768
33470,Stratios,33470,26
33472,Nestor,33472,27
33513,Leopard,33513,31
33477,Small Mobile Siphon Unit,33477,1247
33474,Mobile Depot,33474,1246
33476,Mobile Cynosural Inhibitor,33476,1249
33475,Mobile Tractor Unit,33475,1250
33520,'Wetu' Mobile Depot,33520,1246
33522,'Yurt' Mobile Depot,33522,1246
41076,Modal Enduring Triple Neutron Blaster Cannon,41076,74
33516,High-grade Ascendancy Alpha,33516,300
33525,High-grade Ascendancy Beta,33525,300
33528,High-grade Ascendancy Gamma,33528,300
33527,High-grade Ascendancy Epsilon,33527,300
33526,High-grade Ascendancy Delta,33526,300
33529,High-grade Ascendancy Omega,33529,300
482,Miner II,482,54
483,Miner I,483,54
784,Miner II Blueprint,784,134
499,Light Missile Launcher I,499,509
2405,Light Missile Launcher II Blueprint,2405,136
501,Heavy Missile Launcher I,501,510
2411,Heavy Missile Launcher II Blueprint,2411,136
503,Torpedo Launcher I,503,508
2421,Torpedo Launcher II Blueprint,2421,136
33559,Mid-grade Ascendancy Delta,33559,300
33561,Mid-grade Ascendancy Epsilon,33561,300
33563,Mid-grade Ascendancy Gamma,33563,300
33565,Mid-grade Ascendancy Omega,33565,300
202,Mjolnir Cruise Missile,202,386
24536,Mjolnir Fury Cruise Missile Blueprint,24536,166
24540,Mjolnir Precision Cruise Missile Blueprint,24540,166
203,Scourge Cruise Missile,203,386
24534,Scourge Fury Cruise Missile Blueprint,24534,166
24542,Scourge Precision Cruise Missile Blueprint,24542,166
204,Inferno Cruise Missile,204,386
2622,Inferno Fury Cruise Missile Blueprint,2622,166
2638,Inferno Precision Cruise Missile Blueprint,2638,166
205,Nova Cruise Missile,205,386
24532,Nova Fury Cruise Missile Blueprint,24532,166
24538,Nova Precision Cruise Missile Blueprint,24538,166
206,Nova Heavy Missile,206,385
2656,Nova Precision Heavy Missile Blueprint,2656,166
24508,Nova Fury Heavy Missile Blueprint,24508,166
207,Mjolnir Heavy Missile,207,385
24510,Mjolnir Fury Heavy Missile Blueprint,24510,166
24518,Mjolnir Precision Heavy Missile Blueprint,24518,166
208,Inferno Heavy Missile,208,385
24512,Inferno Fury Heavy Missile Blueprint,24512,166
24516,Inferno Precision Heavy Missile Blueprint,24516,166
209,Scourge Heavy Missile,209,385
2630,Scourge Fury Heavy Missile Blueprint,2630,166
24514,Scourge Precision Heavy Missile Blueprint,24514,166
210,Scourge Light Missile,210,384
24496,Scourge Fury Light Missile Blueprint,24496,166
24502,Scourge Precision Light Missile Blueprint,24502,166
211,Inferno Light Missile,211,384
2648,Inferno Precision Light Missile Blueprint,2648,166
24500,Inferno Fury Light Missile Blueprint,24500,166
212,Mjolnir Light Missile,212,384
2614,Mjolnir Fury Light Missile Blueprint,2614,166
24506,Mjolnir Precision Light Missile Blueprint,24506,166
213,Nova Light Missile,213,384
24498,Nova Fury Light Missile Blueprint,24498,166
24504,Nova Precision Light Missile Blueprint,24504,166
48613,Expired Basic 'Brainfreeze' Cerebral Accelerator,48613,303
33583,Small Mobile 'Rote' Siphon Unit,33583,1247
48615,Expired Advanced 'Brainfreeze' Cerebral Accelerator,48615,303
33585,Defunct Amarr Encounter Surveillance System,33585,1273
484,125mm Gatling AutoCannon I,484,55
2874,125mm Gatling AutoCannon II Blueprint,2874,135
485,150mm Light AutoCannon I,485,55
16032,150mm Light AutoCannon II Blueprint,16032,135
486,200mm AutoCannon I,486,55
2890,200mm AutoCannon II Blueprint,2890,135
487,250mm Light Artillery Cannon I,487,55
2906,250mm Light Artillery Cannon II Blueprint,2906,135
488,280mm Howitzer Artillery I,488,55
2978,280mm Howitzer Artillery II Blueprint,2978,135
489,Dual 180mm AutoCannon I,489,55
2938,Dual 180mm AutoCannon II Blueprint,2938,135
490,220mm Vulcan AutoCannon I,490,55
2898,220mm Vulcan AutoCannon II Blueprint,2898,135
491,425mm AutoCannon I,491,55
2914,425mm AutoCannon II Blueprint,2914,135
492,650mm Artillery Cannon I,492,55
2922,650mm Artillery Cannon II Blueprint,2922,135
493,720mm Howitzer Artillery I,493,55
2970,720mm Howitzer Artillery II Blueprint,2970,135
494,Dual 425mm AutoCannon I,494,55
2946,Dual 425mm AutoCannon II Blueprint,2946,135
495,Dual 650mm Repeating Cannon I,495,55
2954,Dual 650mm Repeating Cannon II Blueprint,2954,135
496,800mm Repeating Cannon I,496,55
16029,800mm Repeating Cannon II Blueprint,16029,135
497,1200mm Artillery Cannon I,497,55
2866,1200mm Artillery Cannon II Blueprint,2866,135
498,1400mm Howitzer Artillery I,498,55
2962,1400mm Howitzer Artillery II Blueprint,2962,135
450,Gatling Pulse Laser I,450,53
3018,Gatling Pulse Laser II Blueprint,3018,133
451,Dual Light Pulse Laser I,451,53
3002,Dual Light Pulse Laser II Blueprint,3002,133
452,Dual Light Beam Laser I,452,53
2994,Dual Light Beam Laser II Blueprint,2994,133
453,Small Focused Pulse Laser I,453,53
3042,Small Focused Pulse Laser II Blueprint,3042,133
454,Small Focused Beam Laser I,454,53
3034,Small Focused Beam Laser II Blueprint,3034,133
455,Quad Light Beam Laser I,455,53
3286,Quad Light Beam Laser II Blueprint,3286,133
456,Focused Medium Pulse Laser I,456,53
3513,Focused Medium Pulse Laser II Blueprint,3513,133
457,Focused Medium Beam Laser I,457,53
3010,Focused Medium Beam Laser II Blueprint,3010,133
458,Heavy Pulse Laser I,458,53
