system,structure,rig_1,rig_2,rig_3,structure_type,system_id,structure_id,tax,structure_type_id
4-HWWF,4-HWWF - WinterCo. Construction Center,Standup XL-Set Equipment and Consumable Manufacturing Efficiency I,Standup XL-Set Ship Manufacturing Efficiency I,Standup XL-Set Structure and Component Manufacturing Efficiency I,Sotiyo,30000240,1035603743755,0.0005,35827
4-HWWF,4-HWWF - WinterCo. Laboratory Center,Standup XL-Set Laboratory Optimization I,,,Sotiyo,30000240,1036206488046,0.0005,35827
4-HWWF,4-HWWF - WinterCo. Refinery Center,Standup L-Set Reactor Efficiency II,Standup L-Set Reprocessing Monitor II,,Tatara,30000240,1035727698593,0.0005,35836
47L-J4,47L-J4 - T2MedShip,Standup M-Set Advanced Medium Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency I,Standup M-Set Basic Medium Ship Manufacturing Material Efficiency II,Raitaru,30000255,1044300774274,0.0005,35825
47L-J4,47L-J4 - Public Reactor,Standup L-Set Reactor Efficiency II,,,Tatara,30000255,1038223102958,0.0005,35836
47L-J4,47L-J4 - zhujian,Standup M-Set Advanced Component Manufacturing Material Efficiency II,Standup M-Set Advanced Component Manufacturing Time Efficiency II,,Raitaru,30000255,1044300732852,0.0005,35825
47L-J4,47L-J4 - MMP zhizao,Standup M-Set Equipment Manufacturing Material Efficiency II,Standup M-Set Structure Manufacturing Material Efficiency II,Standup M-Set Structure Manufacturing Time Efficiency I,Raitaru,30000255,1040198644269,0.0005,35825
4GYV-Q,4GYV-Q - Public Repro & Reactor,Standup L-Set Reactor Efficiency II,Standup L-Set Reprocessing Monitor II,,Tatara,30000239,1037424392106,0.0005,35836
4GYV-Q,4GYV-Q - Labs,Standup XL-Set Laboratory Optimization I,,,Sotiyo,30000239,1037335986890,0.0005,35827
4GYV-Q,4GYV-Q - Bruts Capital Componets,Standup M-Set Basic Capital Component Manufacturing Material Efficiency I,Standup M-Set Basic Capital Component Manufacturing Time Efficiency I,Standup M-Set Equipment Manufacturing Material Efficiency I,Raitaru,30000239,1047199499376,0.0005,35825
4GYV-Q,4GYV-Q - Bruts Structure Copy,Standup M-Set Structure Manufacturing Material Efficiency I,Standup M-Set Structure Manufacturing Time Efficiency I,Standup M-Set Blueprint Copy Accelerator I,Raitaru,30000239,1047199517045,0.0005,35825
4GYV-Q,4GYV-Q - Bruts Capital Hulls,Standup L-Set Capital Ship Manufacturing Efficiency I,,,Azbel,30000239,1047262649057,0.0005,35826
6WW-28,6WW-28 - JF Manufacturing,Standup M-Set Advanced Large Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Large Ship Manufacturing Time Efficiency II,,Raitaru,30000258,1037520456385,0.0005,35825
6WW-28,6WW-28 - Public Reactor,Standup L-Set Reactor Efficiency II,,,Tatara,30000258,1038222972543,0.0005,35836
7-K5EL,7-K5EL - Advanced Small Ship,Standup M-Set Advanced Small Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Small Ship Manufacturing Time Efficiency II,,Raitaru,30000224,1035877847784,0.0005,35825
7-K5EL,7-K5EL - Drone and Fighter,Standup M-Set Drone and Fighter Manufacturing Material Efficiency II,Standup M-Set Drone and Fighter Manufacturing Time Efficiency II,,Raitaru,30000224,1035877860816,0.0005,35825
7-K5EL,7-K5EL - Equipment Manufacturing,Standup M-Set Equipment Manufacturing Material Efficiency II,Standup M-Set Equipment Manufacturing Time Efficiency II,,Raitaru,30000224,1035877880218,0.0005,35825
7-K5EL,7-K5EL - T2 Advanced Component and M-Ship,Standup L-Set Advanced Component Manufacturing Efficiency II,Standup L-Set Advanced Medium Ship Manufacturing Efficiency II,,Azbel,30000224,1035071126270,0.0005,35826
7-K5EL,7-K5EL - Public Reactor & Repro,Standup L-Set Reactor Efficiency II,Standup L-Set Reprocessing Monitor II,,Tatara,30000224,1034971510459,0.0005,35836
7G-H7D,7G-H7D - 2GTHR The Quack Manufactorum,Standup M-Set Advanced Medium Ship Manufacturing Material Efficiency II,Standup M-Set Basic Medium Ship Manufacturing Material Efficiency I,Standup M-Set Structure Manufacturing Material Efficiency I,Raitaru,30000323,1038818861251,0.0005,35825
7G-H7D,7G-H7D - 2GTHR Flipper Manufactorum,Standup M-Set Basic Large Ship Manufacturing Material Efficiency I,Standup M-Set Drone and Fighter Manufacturing Material Efficiency II,Standup M-Set Equipment Manufacturing Material Efficiency II,Raitaru,30000323,1041687026565,0.0005,35825
8TPX-N,8TPX-N - Basic Large And T1 Comp,Standup L-Set Advanced Component Manufacturing Efficiency I,Standup L-Set Basic Capital Component Manufacturing Efficiency I,Standup L-Set Basic Large Ship Manufacturing Efficiency II,Azbel,30000242,1038707850001,0.0005,35826
8TPX-N,8TPX-N - Basic Large and T1 Comp,Standup L-Set Advanced Component Manufacturing Efficiency I,Standup L-Set Basic Capital Component Manufacturing Efficiency I,Standup L-Set Basic Large Ship Manufacturing Efficiency II,Azbel,30000242,1038707850001,0.0005,35826
8TPX-N,8TPX-N - Public Reactor,Standup L-Set Reactor Efficiency II,,,Tatara,30000242,1036679293361,0.0005,35836
FH-TTC,FH-TTC - 2GTHR Garden Shed,Standup XL-Set Laboratory Optimization I,Standup XL-Set Reprocessing Monitor I,Standup XL-Set Structure and Component Manufacturing Efficiency I,Sotiyo,30000226,1036176306541,0.0005,35827
FH-TTC,FH-TTC - 2GTHR React,Standup L-Set Reactor Efficiency I,,,Tatara,30000226,1036240838598,0.0005,35836
FH-TTC,TVN-FM - All Comp and Capital,Standup L-Set Advanced Component Manufacturing Efficiency I,Standup L-Set Basic Capital Component Manufacturing Efficiency I,Standup L-Set Capital Ship Manufacturing Efficiency I,Azbel,30000226,1038468942616,0.0005,35826
FH-TTC,TVN-FM - Public Repro & Reactor,Standup L-Set Reactor Efficiency II,Standup L-Set Reprocessing Monitor II,,Tatara,30000226,1038222841906,0.0005,35836
FH-TTC,FH-TTC - 2GTHR Garden Shed,Standup XL-Set Laboratory Optimization I,Standup XL-Set Reprocessing Monitor I,Standup XL-Set Structure and Component Manufacturing Efficiency I,Sotiyo,30000226,1036176306541,0.0005,35827
G-LOIT,G-LOIT - Advanced Medium Ship,Standup M-Set Advanced Medium Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency II,Standup M-Set Basic Medium Ship Manufacturing Material Efficiency I,Raitaru,30000213,1034540302106,0.0005,35825
G-LOIT,G-LOIT - Advanced Small Ship,Standup M-Set Advanced Small Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Small Ship Manufacturing Time Efficiency II,Standup M-Set Basic Small Ship Manufacturing Material Efficiency I,Raitaru,30000213,1034540339241,0.0005,35825
G-LOIT,G-LOIT - Drone and Fighter,Standup M-Set Drone and Fighter Manufacturing Material Efficiency II,Standup M-Set Drone and Fighter Manufacturing Time Efficiency II,,Raitaru,30000213,1034540462170,0.0005,35825
G-LOIT,G-LOIT - Structure Manufacturing,Standup M-Set Structure Manufacturing Material Efficiency II,Standup M-Set Structure Manufacturing Time Efficiency II,,Raitaru,30000213,1034540421795,0.0005,35825
G-LOIT,G-LOIT - Advanced Components,Standup M-Set Advanced Component Manufacturing Material Efficiency II,Standup M-Set Advanced Component Manufacturing Time Efficiency II,,Raitaru,30000213,1034540186335,0.0005,35825
